日期,话题,当日累计上榜分钟,页面显示热度,最后观察时间,事件阶段,内容类型,筛选依据,来源,排名状态,已在主清单
2026-06-15,世界杯,141,444832,26-06-15 23:54,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,是
2026-06-15,本届世界杯惨案来得太快了,435,1724761,26-06-15 23:54,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,亚马尔不首发,33,265158,26-06-15 23:54,小组赛阶段,赛况/结果,人物词：亚马尔,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,西班牙首发,74,833653,26-06-15 23:54,小组赛阶段,赛况/结果,球队+足球语境：西班牙/首发,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,世界杯迎来了最严厉的监考老师,23,232178,26-06-15 21:05,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,球迷挑战5小时手搓乐高大力神杯,29,754042,26-06-15 19:57,小组赛阶段,商业/传播,直接词：大力神杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,中国人最适合看世界杯,27,528821,26-06-15 16:56,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,世界杯第一对中国cp出现了,85,441236,26-06-15 16:29,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,世界杯这对中国组合是最大显眼包,78,395839,26-06-15 16:22,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,日本球员不戴护腿板违规吗,112,531141,26-06-15 15:27,小组赛阶段,裁判/规则,球队+足球语境：日本/球员,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,世界杯期间就这样晒小卡,26,823234,26-06-15 15:16,小组赛阶段,赛事衍生/社会话题,直接词：世界杯,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
2026-06-15,日本队目标夺冠,147,783557,26-06-15 15:03,小组赛阶段,赛况/结果,球队+足球语境：日本/夺冠,https://weibo.zhaoyizhe.com/date/20260615/,公开页未提供最高排名，不能验证TOP1,否
